"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41581","search()","","2026-05-13","passed","2026-05-13","","iscteiul.ista.blackbattleship.selenium.tests.MainPageTest","iscteiul.ista.blackbattleship.selenium.tests.MainPageTest","search"
"","14966","testUserStory17()","","2026-05-13","passed","2026-05-13","","iscteiul.ista.blackbattleship.selenium.tests.UserStory17Test","iscteiul.ista.blackbattleship.selenium.tests.UserStory17Test","testUserStory17"
"","21511","navigationToAllTools()","","2026-05-13","passed","2026-05-13","","iscteiul.ista.blackbattleship.selenium.tests.MainPageTest","iscteiul.ista.blackbattleship.selenium.tests.MainPageTest","navigationToAllTools"
"","26477","testUserStory17()","","2026-05-13","passed","2026-05-13","","iscteiul.ista.blackbattleship.selenide.tests.SelenideUserStory17Test","iscteiul.ista.blackbattleship.selenide.tests.SelenideUserStory17Test","testUserStory17"
"","24997","testUserStory8()","","2026-05-13","passed","2026-05-13","","iscteiul.ista.blackbattleship.selenide.tests.SelenideUserStory8Test","iscteiul.ista.blackbattleship.selenide.tests.SelenideUserStory8Test","testUserStory8"
"","14687","testUserStory8()","","2026-05-13","passed","2026-05-13","","iscteiul.ista.blackbattleship.selenium.tests.UserStory8Test","iscteiul.ista.blackbattleship.selenium.tests.UserStory8Test","testUserStory8"
"","14953","testUserStory9()","","2026-05-13","passed","2026-05-13","","iscteiul.ista.blackbattleship.selenium.tests.UserStory9Test","iscteiul.ista.blackbattleship.selenium.tests.UserStory9Test","testUserStory9"
"","22995","testUserStory11()","","2026-05-13","passed","2026-05-13","","iscteiul.ista.blackbattleship.selenium.tests.UserStory11Test","iscteiul.ista.blackbattleship.selenium.tests.UserStory11Test","testUserStory11"
"","4613","toolsMenu()","","2026-05-13","passed","2026-05-13","","iscteiul.ista.blackbattleship.selenium.tests.MainPageTest","iscteiul.ista.blackbattleship.selenium.tests.MainPageTest","toolsMenu"
"","25151","testUserStory9()","","2026-05-13","passed","2026-05-13","","iscteiul.ista.blackbattleship.selenide.tests.SelenideUserStory9Test","iscteiul.ista.blackbattleship.selenide.tests.SelenideUserStory9Test","testUserStory9"
"","26394","testUserStory11()","","2026-05-13","passed","2026-05-13","","iscteiul.ista.blackbattleship.selenide.tests.SelenideUserStory11Test","iscteiul.ista.blackbattleship.selenide.tests.SelenideUserStory11Test","testUserStory11"
"","417074","testLogin()","","2026-05-13","passed","2026-05-13","","iscteiul.ista.blackbattleship.selenide.tests.SelenideLoginTest","iscteiul.ista.blackbattleship.selenide.tests.SelenideLoginTest","testLogin"
